example_id,o_tract_fips,d_tract_fips,path_order,screenline_id,screenline_color,station_id,is_fhwa_station,boundary_distance_m,boundary_centroid_distance_ratio,station_x,station_y
28,24510120202,24510230100,1,24510120500__24510120600,#1f77b4,S2005240011,False,48.973991090520784,0.08838249322765862,432831.79907631804,182644.13614960597
28,24510120202,24510230100,2,24510040100__24510220100,#ff7f0e,B240055,False,2.0792518978441255,0.002861905786725537,432648.82561606134,179854.66627878015
28,24510120202,24510230100,2,24510040100__24510220100,#ff7f0e,B240211,False,43.89892942065149,0.058997734057359794,432604.9314553833,179808.34020237744
28,24510120202,24510230100,2,24510040100__24510220100,#ff7f0e,S2012240492,False,66.41435854841149,0.18244472905644535,433220.462151401,179949.53616847872
28,24510120202,24510230100,2,24510040100__24510220100,#ff7f0e,S2012240496,False,83.53328626966427,0.20983688060393343,433007.85401062615,179784.30130707173
28,24510120202,24510230100,2,24510040100__24510220100,#ff7f0e,S2012240498,False,53.613476215354915,0.13404852791744162,433107.91530101385,179929.3311090237
29,24033807404,24033806712,1,24033807404__24033807408,#1f77b4,B160004,False,0.7061119572876494,0.0006469292157386148,409369.53694051696,153290.24118162916
29,24033807404,24033806712,1,24033807404__24033807408,#1f77b4,B160086,False,18.393250915471626,0.008599430979292954,406533.9436448469,153789.38311923688
29,24033807404,24033806712,1,24033807404__24033807408,#1f77b4,B160129,False,18.757099733535412,0.009365431186439616,406857.87450922956,153860.16652489488
29,24033807404,24033806712,1,24033807404__24033807408,#1f77b4,B3186,False,0.4616130655829674,0.00040504827629340214,408539.99183292955,151205.8382001198
