scenario,activity_pair,vehicle_trips,share
synthetic,9 -> 1,2377.99999956,0.010908036718760256
synthetic,16 -> 16,2230.79999808,0.010232820982241122
synthetic,2 -> 6,2097.99999996,0.009623658973825527
synthetic,2 -> 7,1994.99999976,0.009151191444632173
synthetic,1 -> 4,1970.9999994,0.009041101921829152
synthetic,16 -> 5,1922.19999912,0.008817253227536367
synthetic,2 -> 8,1785.99999996,0.008192495198853738
synthetic,4 -> 1,1777.99999944,0.008155798689417907
synthetic,16 -> 2,1560.99999972,0.007160405936955882
synthetic,2 -> 10,1512.0,0.006935639832555587
synthetic,1 -> 3,1356.99999984,0.006224645007717084
synthetic,10 -> 5,1279.99999992,0.005871441127722421
synthetic,9 -> 5,1201.99999992,0.005513650183979474
synthetic,3 -> 1,1064.99999976,0.0048852225000047276
synthetic,16 -> 6,975.39999936,0.0044742216192036445
synthetic,14 -> 1,967.79999928,0.004439359937138648
synthetic,7 -> 5,959.99999988,0.004403580845516592
synthetic,1 -> 12,905.99999976,0.004155879422374874
synthetic,1 -> 14,861.39999936,0.003951296393733184
synthetic,18 -> 5,839.99999988,0.0038531332397582123
synthetic,6 -> 2,834.0,0.003825610860020741
synthetic,7 -> 2,823.99999992,0.0037797402258405778
synthetic,16 -> 7,783.99999912,0.0035962576869181333
synthetic,5 -> 7,736.9999998,0.003380665711115304
synthetic,11 -> 5,717.99999996,0.0032935115076041573
synthetic,5 -> 2,690.0,0.0031650737331106846
synthetic,12 -> 1,663.79999992,0.00304489267215314
synthetic,16 -> 8,654.99999972,0.003004526513480113
synthetic,1 -> 1,609.99999996,0.0027981086624216155
synthetic,8 -> 5,594.0,0.002724715648503981
synthetic,2 -> 13,571.99999992,0.0026238002537479796
synthetic,5 -> 16,538.99999968,0.0024724271610635294
synthetic,10 -> 6,528.0,0.002421969465336872
synthetic,18 -> 8,516.0,0.0023669247047610337
synthetic,13 -> 5,513.0,0.0023531635146170743
synthetic,18 -> 6,495.99999996,0.0022751834369511546
synthetic,18 -> 10,489.0,0.0022430739934653984
synthetic,16 -> 10,488.99999988,0.0022430739929149507
synthetic,9 -> 6,476.99999988,0.002188029232339113
synthetic,10 -> 10,459.99999984,0.002110049154673193
synthetic,15 -> 1,393.99999984,0.0018073029715060841
synthetic,11 -> 7,381.99999984,0.001752258210930246
synthetic,2 -> 11,378.0,0.0017339099581388968
synthetic,3 -> 5,372.0,0.001706387577850978
synthetic,11 -> 8,369.99999996,0.0016972134509048557
synthetic,11 -> 16,363.99999984,0.0016696910700664891
synthetic,18 -> 2,360.0,0.0016513428172751398
synthetic,2 -> 9,357.99999996,0.0016421686903290177
synthetic,9 -> 7,356.99999988,0.001637581626580733
synthetic,6 -> 5,352.99999992,0.001619233373238936
synthetic,9 -> 8,342.99999996,0.0015733627396092202
synthetic,5 -> 6,340.99999992,0.001564188612663098
synthetic,18 -> 16,339.99999996,0.001559601549465261
synthetic,10 -> 2,336.0,0.0015412532961234639
synthetic,1 -> 15,323.99999988,0.0014862085349971784
synthetic,5 -> 11,319.99999992,0.0014678602816553814
synthetic,4 -> 5,317.99999988,0.0014586861547092593
synthetic,11 -> 6,296.99999988,0.001362357823701543
synthetic,5 -> 8,288.0,0.0013210742538201118
synthetic,7 -> 7,287.99999988,0.0013210742532696643
synthetic,9 -> 10,282.0,0.001293551873532193
synthetic,13 -> 6,276.0,0.0012660294932442739
synthetic,8 -> 2,276.0,0.0012660294932442739
