taz,x,y,lon,lat,out_sr,state,stfips,cntyfips,fipsstco,region
1151,-76.74815741,38.98183585,-76.74815741,38.98183585,4326,Maryland,24,33,24033,TPB Modeled Region
1152,-76.73855813,38.97252801,-76.73855813,38.97252801,4326,Maryland,24,33,24033,TPB Modeled Region
1153,-76.74897365,38.96605257,-76.74897365,38.96605257,4326,Maryland,24,33,24033,TPB Modeled Region
1154,-76.73356201,38.95810647,-76.73356201,38.95810647,4326,Maryland,24,33,24033,TPB Modeled Region
1155,-76.72097885,38.95797835,-76.72097885,38.95797835,4326,Maryland,24,33,24033,TPB Modeled Region
1156,-76.72657916,38.96665789,-76.72657916,38.96665789,4326,Maryland,24,33,24033,TPB Modeled Region
1157,-76.72342743,38.97466849,-76.72342743,38.97466849,4326,Maryland,24,33,24033,TPB Modeled Region
1158,-76.70722538,38.96871990,-76.70722538,38.96871990,4326,Maryland,24,33,24033,TPB Modeled Region
1159,-76.71726298,38.98753876,-76.71726298,38.98753876,4326,Maryland,24,33,24033,TPB Modeled Region
1160,-76.73268089,38.98990335,-76.73268089,38.98990335,4326,Maryland,24,33,24033,TPB Modeled Region
1161,-76.74132535,39.00313144,-76.74132535,39.00313144,4326,Maryland,24,33,24033,TPB Modeled Region
1162,-76.75247907,38.99426833,-76.75247907,38.99426833,4326,Maryland,24,33,24033,TPB Modeled Region
1163,-76.76505776,38.99263568,-76.76505776,38.99263568,4326,Maryland,24,33,24033,TPB Modeled Region
1164,-76.77405895,39.00140794,-76.77405895,39.00140794,4326,Maryland,24,33,24033,TPB Modeled Region
1165,-76.77500115,39.00724095,-76.77500115,39.00724095,4326,Maryland,24,33,24033,TPB Modeled Region
1166,-76.77463076,39.01680704,-76.77463076,39.01680704,4326,Maryland,24,33,24033,TPB Modeled Region
1167,-76.76553599,39.01104140,-76.76553599,39.01104140,4326,Maryland,24,33,24033,TPB Modeled Region
