state_code,station_id,direction,latitude,longitude,route,location_text,source_file
24,0P0021,3,39471720,77528251,1,IS 70 - 2.79 Miles East of MD 17 (ATR#21)         ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0030,1,39463651,77401434,2,US 15 - .15 Mile North of Monocacy Blvd (ATR#30 OB,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0032,5,39281939,76731000,1,IS 695 - 100ft South of Ingleside Ave (ATR#32)    ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0037,5,38013839,75543754,2,US 13 - .10 Mile North of Bunting Rd (ATR#37)     ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0039,1,39190536,76773374,1,IS 95 - .08 Mile South of MD 103 (ATR#39)         ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0041,1,39018199,76991452,1,.82 MI W OF MD 650                                ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0042,5,39057347,76527433,3,MD 2 - 211ft South of Jones Station Rd (ATR#42 OBS,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0044,1,39676944,78964678,1,at FINZEL RD MD 546                               ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0047,5,39345031,76508597,1,IS 95 - .55 Mile South of IS 695 (ATR#47 OBSOLETE),Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0054,5,39405909,76574641,1,IS 695 - .41 Mile North of Cromwell Bridge Rd (ATR,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0055,5,38978863,76874070,1,IS 95 - .05 Mile North of Good Luck Rd (ATR#55)   ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0056,5,38751401,76992613,3,MD 210 - .31 Mile South of Old Fort Rd (ATR#56)   ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0057,1,39347361,76461539,2,.56 MI W OF MIDDLE RIVER RD                       ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0061,3,38921799,76905895,2,US 50 - .75 Mile West of MD 202 (ATR#61)          ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0063,3,38373521,75252829,3,MD 90 - 100ft West of MD 346 (ATR#63)             ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0063,7,38373521,75252829,3,MD 90 - 100ft West of MD 346 (ATR#63)             ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0070,1,39668362,78734814,1,.55 MI W OF MD 144                                ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0070,7,39668470,78734718,1,IS 68 - .15 Mile East of Structure #1081 Hillcrest,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0079,1,39257929,76675064,1,IS 95 - .24 Mile South of Joh Ave (ATR#79)        ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0079,5,39257929,76675064,1,IS 95 - .24 Mile South of Joh Ave (ATR#79)        ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0084,5,39065442,75850699,3,MD 313 - .22 Mile South of Queen Anne's County Lin,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0012,1,39461723,76252401,2,.39 MI E OF LONG BAR HARBOR RD                    ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0019,1,39326407,77706219,2,.42 MI N OF VIRGINIA/MARYLAND STATE LINE          ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0019,3,39326407,77706219,2,US 340 - 50ft East of Potomac River Bridge (ATR#19,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0019,7,39326407,77706219,2,US 340 - 50ft East of Potomac River Bridge (ATR#19,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0025,5,39161077,76739810,3,MD 295(NB) - .81 South of MD 100 (ATR#25 Includes ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0034,5,39363062,76507185,1,IS 695 - .59 Mile North of US 1 (Belair Rd) (ATR#3,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0035,5,39529425,79345241,2,US 219 - .10 Mile North of Deep Creek Lake Bridge ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0038,1,39140735,76626754,3,.45 MI W OF OAKWOOD RD                            ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0047,1,39345031,76508597,1,IS 95 - .55 Mile South of IS 695 (ATR#47 OBSOLETE),Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0053,1,39307077,76766692,1,1.64 MI E OF HOWARD COUNTY LINE                   ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0001,5,39579464,78967230,3,MD 36 - 100ft South of George's Creek Bridge (ATR#,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0068,5,39329381,77510505,2,US 15 - 1.16 Miles North of Basford Rd (ATR#68)   ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0007,1,39489351,76870479,3,MD 140 - .09 Mile North of Patapsco River Bridge (,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0072,1,39384410,76755883,1,IS 795(NB) - .05 Mile North of Mt. Wilson La (ATR#,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0007,5,39489351,76870479,3,MD 140 - .09 Mile North of Patapsco River Bridge (,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0072,5,39384410,76755883,1,IS 795(NB) - .05 Mile North of Mt. Wilson La (ATR#,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0012,3,39461723,76252401,2,US 40 - 50ft South of Bush River Bridge (ATR#12)  ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0014,7,39284112,76877762,2,US 40 - .06 Mile West of Cemetery La (ATR#14)     ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0074,1,39281807,76483816,3,MD 695 - 50ft South of Trappe Rd (ATR#74)         ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0016,7,38510957,75878351,2,US 50 - .09 Mile East of Big Mill Pond (ATR#16)   ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0075,5,39212845,76652787,1,IS 695 - .26 Mile West of MD 170 (ATR#75)         ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
