scenario,source_row,o_tpb_taz,d_tpb_taz,o_activity,d_activity,departure_time_min,travel_mode,vehicle_occupancy,person_weight,vehicle_weight_unscaled,vehicle_weight
real,88844,3531,3518,1,16,315,4,4,268.00000000,67.00000000,3.06623189
real,88845,3518,3435,16,2,340,4,1,268.00000000,268.00000000,12.26492758
real,88846,3435,3518,2,16,870,4,1,268.00000000,268.00000000,12.26492758
real,88847,3518,3531,16,1,915,4,4,268.00000000,67.00000000,3.06623189
real,88850,2637,2631,1,5,600,4,1,37.00000000,37.00000000,1.69329224
real,88851,2631,2637,5,1,630,4,1,37.00000000,37.00000000,1.69329224
real,88852,2637,2637,1,5,750,4,1,37.00000000,37.00000000,1.69329224
real,88853,2637,2637,5,1,790,4,1,37.00000000,37.00000000,1.69329224
real,88854,2367,2382,1,2,670,4,1,107.00000000,107.00000000,4.89681810
real,88855,2382,2331,2,7,880,4,1,107.00000000,107.00000000,4.89681810
real,88856,2331,2382,7,2,1010,4,1,107.00000000,107.00000000,4.89681810
real,88857,2382,2367,2,1,1150,4,1,107.00000000,107.00000000,4.89681810
real,88858,2043,1591,1,15,615,4,1,164.00000000,164.00000000,7.50540344
real,88859,1591,2043,15,1,810,4,1,164.00000000,164.00000000,7.50540344
real,88862,2044,2043,6,1,70,4,1,164.00000000,164.00000000,7.50540344
real,88894,1732,1731,1,9,500,4,1,161.00000000,161.00000000,7.36810948
real,88895,1731,1732,9,1,630,4,1,161.00000000,161.00000000,7.36810948
real,88896,1732,1683,1,2,680,4,1,161.00000000,161.00000000,7.36810948
real,88897,1683,1732,2,1,840,4,1,161.00000000,161.00000000,7.36810948
real,88898,1732,1683,1,2,885,4,1,161.00000000,161.00000000,7.36810948
real,88899,1683,1732,2,1,1125,4,1,161.00000000,161.00000000,7.36810948
real,88900,1732,1731,1,2,595,4,1,161.00000000,161.00000000,7.36810948
real,88901,1731,1731,2,5,870,4,1,161.00000000,161.00000000,7.36810948
real,88902,1731,1731,5,2,890,4,1,161.00000000,161.00000000,7.36810948
real,88903,1731,1732,2,1,1065,4,1,161.00000000,161.00000000,7.36810948
real,88904,2078,1854,1,18,720,4,2,131.00000000,65.50000000,2.99758491
real,88905,1854,2062,18,10,900,4,2,131.00000000,65.50000000,2.99758491
real,88906,2062,2075,10,7,1030,4,2,131.00000000,65.50000000,2.99758491
real,88907,2075,2078,7,1,1095,4,2,131.00000000,65.50000000,2.99758491
