scenario,activity_pair,vehicle_trips,share
real,6 -> 4,27.55794985,0.00014508741840239098
real,13 -> 13,27.09267585,0.00014263783837640244
real,10 -> 13,25.902794789999998,0.00013637333858084524
real,12 -> 4,25.74261851,0.0001355300406185152
real,12 -> 6,22.58485732,0.0001189050223757898
real,10 -> 14,22.56197498,0.00011878455116310247
real,12 -> 13,22.310269390000002,0.00011745936861326376
real,11 -> 14,20.75427111,0.00010926733057296807
real,4 -> 10,19.35844913,0.00010191859060029867
real,14 -> 11,18.473665790000002,9.726037286839997e-05
real,6 -> 14,18.32416793,9.647329477724502e-05
real,7 -> 15,17.93974482,9.444937946759006e-05
real,14 -> 14,17.81770574,9.380686668424515e-05
real,16 -> 12,17.66515689,9.300372570506401e-05
real,11 -> 3,17.36005918,9.139744369405363e-05
real,4 -> 3,17.3448043,9.131712962245957e-05
real,8 -> 14,17.07021637,8.987147585993354e-05
real,9 -> 3,16.383746539999997,8.625734142729435e-05
real,18 -> 3,16.06339396,8.457074539733805e-05
real,11 -> 9,15.6057474,8.216132240714653e-05
real,13 -> 4,15.3349732,8.073574721516712e-05
real,4 -> 14,14.09551378,7.421022668692925e-05
real,9 -> 4,14.09551378,7.421022668692925e-05
real,14 -> 6,14.01923936,7.380865622366274e-05
real,9 -> 14,13.63786724,7.180080380203396e-05
real,11 -> 15,13.60735747,7.164017560619774e-05
real,3 -> 8,12.447986199999999,6.5536304111773e-05
real,3 -> 11,12.31069223,6.481347720418592e-05
real,11 -> 4,11.64710474,6.131981398423407e-05
real,13 -> 15,11.34963447,5.975368900902072e-05
real,6 -> 13,10.50298835,5.5296256561403396e-05
