link_id,volume
osm_1009201188_5_rev,22
osm_1009201188_6_fwd,11
osm_1009201188_6_rev,22
osm_1009201188_7_fwd,11
osm_1009201188_7_rev,22
osm_1009208361_1_fwd,452
osm_1009208361_1_rev,493
osm_1009210237_1_fwd,193
osm_1009210237_1_rev,197
osm_1009210239_10_fwd,193
osm_1009210239_10_rev,211
osm_1009210239_11_fwd,193
osm_1009210239_11_rev,211
osm_1009210239_12_fwd,193
osm_1009210239_12_rev,211
osm_1009210239_13_fwd,193
osm_1009210239_13_rev,211
osm_1009210239_1_fwd,193
osm_1009210239_1_rev,211
osm_1009210239_2_fwd,193
osm_1009210239_2_rev,211
osm_1009210239_3_fwd,193
osm_1009210239_3_rev,211
osm_1009210239_4_fwd,193
osm_1009210239_4_rev,211
osm_1009210239_5_fwd,193
osm_1009210239_5_rev,211
osm_1009210239_6_fwd,193
osm_1009210239_6_rev,211
osm_1009210239_7_fwd,193
osm_1009210239_7_rev,211
osm_1009210239_8_fwd,193
osm_1009210239_8_rev,211
osm_1009210239_9_fwd,193
osm_1009210239_9_rev,211
osm_1009210241_10_fwd,207
osm_1009210241_10_rev,231
osm_1009210241_11_fwd,207
osm_1009210241_11_rev,231
osm_1009210241_12_fwd,207
osm_1009210241_12_rev,231
osm_1009210241_13_fwd,207
osm_1009210241_13_rev,231
osm_1009210241_14_fwd,207
osm_1009210241_14_rev,231
osm_1009210241_15_fwd,207
osm_1009210241_15_rev,231
osm_1009210241_16_fwd,207
osm_1009210241_16_rev,231
osm_1009210241_17_fwd,207
osm_1009210241_17_rev,231
osm_1009210241_18_fwd,207
osm_1009210241_18_rev,231
osm_1009210241_19_fwd,207
osm_1009210241_19_rev,231
osm_1009210241_1_fwd,207
osm_1009210241_1_rev,231
osm_1009210241_20_fwd,207
osm_1009210241_20_rev,231
