example_id,o_tract_fips,d_tract_fips,path_order,first_raw_position,path_occurrences,screenline_id,tract_a,tract_b,screenline_color,shared_boundary_m,is_validation_candidate,is_in_cached_validation_path,mapped_mdot_station_ids,mapped_fhwa_station_ids
20,24510100300,24005402306,2,3,1,24510110200__24510170200,24510110200,24510170200,#ff7f0e,290.82896711841687,True,True,B240135;B240188;B240190,
20,24510100300,24005402306,3,5,1,24510140100__24510140300,24510140100,24510140300,#2ca02c,364.7941182345139,True,True,S2013240279,
20,24510100300,24005402306,4,7,1,24510130300__24510150400,24510130300,24510150400,#d62728,480.16768296369696,True,True,B240019,
20,24510100300,24005402306,5,8,1,24510130400__24510150400,24510130400,24510150400,#9467bd,526.428857728259,True,True,B240020;B240219;B240220,
20,24510100300,24005402306,6,9,1,24510130400__24510150500,24510130400,24510150500,#8c564b,1149.8048472348944,True,True,B240021;B240219,
20,24510100300,24005402306,7,10,1,24510150500__24510150701,24510150500,24510150701,#e377c2,902.3379259814124,True,True,S2005240049;S2012240455;S2012241427,
20,24510100300,24005402306,8,11,1,24510150701__24510150800,24510150701,24510150800,#7f7f7f,1348.5302943605732,True,True,S2012240468,
20,24510100300,24005402306,9,12,1,24510150800__24510151100,24510150800,24510151100,#bcbd22,885.0320991513177,True,True,S2012240415,
20,24510100300,24005402306,10,13,1,24510151000__24510151100,24510151000,24510151100,#17becf,1511.3313418134467,True,True,S2005240059;S2012240413;S2012240415,
20,24510100300,24005402306,11,14,1,24510151000__24510280102,24510151000,24510280102,#aec7e8,2041.6572745403264,True,True,S2012240303;S2012240412;S2012240414,
20,24510100300,24005402306,12,15,1,24005403202__24510280102,24005403202,24510280102,#ffbb78,1462.1209945401574,True,True,S2011031023,
20,24510100300,24005402306,13,16,1,24005403100__24005403202,24005403100,24005403202,#98df8a,714.7917217421948,True,True,B0941;S2012030202,
20,24510100300,24005402306,14,17,1,24005402305__24005403100,24005402305,24005403100,#ff9896,3647.2092209439656,True,True,S2011031026,
20,24510100300,24005402306,15,18,1,24005402305__24005402307,24005402305,24005402307,#c5b0d5,2261.322812121405,True,True,P0078;S1999030054;S2012031540,P0078
20,24510100300,24005402306,16,19,1,24005402306__24005402307,24005402306,24005402307,#c49c94,1333.832582756873,True,True,S2013030189,
21,11001007803,24031705602,1,1,1,11001007803__11001009602,11001007803,11001009602,#1f77b4,911.7600087063729,False,False,,
21,11001007803,24031705602,2,2,1,11001009602__11001011100,11001009602,11001011100,#ff7f0e,1109.2071011676744,False,False,,
21,11001007803,24031705602,3,4,1,11001008803__11001008804,11001008803,11001008804,#2ca02c,1403.6868434124735,False,False,,
21,11001007803,24031705602,4,6,1,11001008702__11001009102,11001008702,11001009102,#d62728,1359.1832716400997,False,False,,
21,11001007803,24031705602,5,7,1,11001008702__11001009203,11001008702,11001009203,#9467bd,279.96715001328414,False,False,,
21,11001007803,24031705602,6,8,1,11001009203__11001009204,11001009203,11001009204,#8c564b,936.5719845399643,False,False,,
21,11001007803,24031705602,7,10,1,11001003301__11001003400,11001003301,11001003400,#e377c2,1433.9147637091278,False,False,,
21,11001007803,24031705602,8,11,1,11001002302__11001003400,11001002302,11001003400,#7f7f7f,591.0629514716351,False,False,,
21,11001007803,24031705602,9,13,1,11001003100__11001003200,11001003100,11001003200,#bcbd22,1027.4062312757553,False,False,,
21,11001007803,24031705602,10,15,1,11001002801__11001002900,11001002801,11001002900,#17becf,578.3585710110202,False,False,,
21,11001007803,24031705602,11,16,1,11001002701__11001002801,11001002701,11001002801,#aec7e8,459.4677698250076,False,False,,
